Date,predicted_mean
2012-11-02,48.09971788036695
2012-11-09,47.89110576874639
2012-11-16,45.95160356315591
2012-11-23,65.1206984417677
2012-11-30,48.75372342060142
2012-12-07,54.54592864757841
2012-12-14,58.902267216662416
2012-12-21,75.09746768830726
2012-12-28,44.949501136647925
2013-01-04,44.08108394388678
2013-01-11,41.29140295108992
2013-01-18,41.294333185257365
2013-01-25,39.18502560538258
2013-02-01,45.114664299476196
2013-02-08,48.62334112216103
2013-02-15,48.83083449797368
2013-02-22,44.564864937358834
2013-03-01,45.67770101728405
2013-03-08,46.0462312115589
2013-03-15,45.50654890102005
2013-03-22,43.65362107035602
2013-03-29,43.930140960273974
2013-04-05,51.34376690413034
2013-04-12,45.14079433396974
2013-04-19,43.94712142590367
2013-04-26,42.40142456790693
2013-05-03,45.62174903301734
2013-05-10,45.320637272242344
2013-05-17,45.11979942747092
2013-05-24,46.130534529204056
2013-05-31,46.67101898746538
2013-06-07,47.789144059219204
2013-06-14,46.65171703985058
2013-06-21,45.871539675005415
2013-06-28,45.010267793110984
2013-07-05,49.140635377927126
2013-07-12,44.39461931689675
2013-07-19,44.32029866878005
2013-07-26,42.46236740534867
